Battery,Fast_charge,Price.DE.,Range,Top_speed,CO2_savings_total
90.6,750.0,88215.0,505,210,35.35
83.7,1080.0,103254.0,440,220,30.8
81.0,290.0,53090.0,390,150,27.3
108.4,730.0,57833.3444159492,490,210,34.3
87.0,480.0,71490.0,405,200,28.35
68.0,290.0,56942.0,265,130,18.55
76.6,570.0,67264.284789644,400,180,28.0
59.3,230.0,49490.0,330,160,23.1
90.6,570.0,83479.0,450,210,31.5
106.0,610.0,98050.0,480,210,33.6
77.0,620.0,56950.0,415,180,29.05
82.7,640.0,67264.284789644,460,200,32.2
62.0,490.0,46490.0,320,180,22.4
46.3,330.0,37800.0,210,135,14.7
58.0,480.0,67264.284789644,355,160,24.85
37.3,380.0,37990.0,230,150,16.1
90.6,620.0,57833.3444159492,415,210,29.05
68.0,290.0,64530.0,265,130,18.55
46.3,330.0,40150.0,205,135,14.35
71.0,1020.0,57833.3444159492,415,250,29.05
87.7,550.0,52990.0,425,200,29.75
90.6,690.0,57833.3444159492,465,210,32.55
66.5,510.0,53520.0,355,160,24.85
21.3,230.0,67264.284789644,135,135,9.45
46.3,290.0,53640.0,185,130,12.95
37.8,370.0,37990.0,225,155,15.75
90.6,610.0,57833.3444159492,410,240,28.7
68.0,280.0,70075.0,260,130,18.2
60.0,430.0,47588.0,350,160,24.5
68.0,280.0,65385.0,260,130,18.2
70.5,470.0,65500.0,350,200,24.5
39.2,200.0,67264.284789644,230,157,16.1
46.3,330.0,43050.0,205,135,14.35
68.0,290.0,57940.0,265,130,18.55
90.6,690.0,57833.3444159492,465,220,32.55
90.0,310.0,65140.0,305,160,21.35
83.7,1090.0,57833.3444159492,445,260,31.15
68.0,290.0,57940.0,265,130,18.55
46.3,330.0,41240.0,205,135,14.35
68.0,280.0,60430.0,260,130,18.2
74.0,990.0,63200.0,380,200,26.6
83.7,1080.0,57833.3444159492,440,240,30.8
87.7,550.0,58890.0,425,200,29.75
71.0,930.0,94091.0,380,230,26.6
60.0,200.0,68056.0,210,160,14.7
90.0,310.0,72519.0,310,160,21.7
60.0,310.0,60678.0,210,160,14.7
37.8,370.0,40990.0,225,155,15.75
74.0,950.0,73100.0,365,235,25.55
28.9,230.0,67264.284789644,165,150,11.55
68.0,290.0,59640.0,265,130,18.55
70.5,460.0,85900.0,340,200,23.8
68.0,290.0,59640.0,265,130,18.55
46.3,290.0,53640.0,185,130,12.95
83.7,1050.0,57833.3444159492,425,250,29.75
83.7,1050.0,57833.3444159492,425,250,29.75
68.0,280.0,58730.0,260,130,18.2
68.0,280.0,62990.0,260,130,18.2
46.3,290.0,54430.0,180,130,12.6
83.7,1010.0,57833.3444159492,410,250,28.7
46.3,330.0,43640.0,205,135,14.35
21.3,230.0,35490.0,135,135,9.45
83.7,1090.0,99815.0,445,230,31.15
68.0,290.0,67264.284789644,265,130,18.55
46.3,290.0,67264.284789644,180,130,12.6
83.7,970.0,57833.3444159492,395,260,27.65
68.0,280.0,60430.0,260,130,18.2
46.3,290.0,51940.0,185,130,12.95
46.3,290.0,63250.0,185,130,12.95
68.0,280.0,67264.284789644,260,130,18.2
68.0,280.0,58730.0,260,130,18.2
83.7,1060.0,57833.3444159492,430,250,30.1
46.3,320.0,44750.0,200,135,14.0
46.3,290.0,67264.284789644,185,130,12.95
71.0,910.0,57833.3444159492,370,250,25.9
46.3,290.0,51940.0,185,130,12.95
60.0,300.0,61571.0,205,160,14.35
46.3,290.0,54430.0,185,130,12.95
68.0,290.0,61990.0,265,130,18.55
83.7,1000.0,57833.3444159492,405,260,28.35
60.0,200.0,68949.0,210,160,14.7
68.0,280.0,57775.0,260,130,18.2
46.3,290.0,50992.0,185,130,12.95
46.3,290.0,64075.0,180,130,12.6
46.3,290.0,52730.0,185,130,12.95
46.3,290.0,52730.0,180,130,12.6
46.3,290.0,55990.0,185,130,12.95
46.3,290.0,51825.0,180,130,12.6
68.0,290.0,69250.0,265,130,18.55
46.3,290.0,56990.0,180,130,12.6
